# step x_1 x_2 x_3 x_4 x_5
1 0.1411353733 0.1411353733 0.8602016656 0.9879390973 0.9879390973
2 0.1354020658 0.1354020658 0.8523769149 1.0994506962 1.0994506962
3 0.1310459618 0.1310459618 0.8454509386 1.1466900640 1.1466900640
4 0.1217220516 0.1217220516 0.8445651516 1.1651589342 1.1651589342
5 0.1012619108 0.1012619108 0.8525092636 1.1897530229 1.1897530229
6 0.0634820126 0.0634820126 0.9047912965 1.2583626110 1.2583626110
7 0.0189379342 0.0189379342 1.1787735538 1.2371649636 1.2900379873
8 0.0011754280 0.0011754281 1.1962581003 1.1993650554 1.1993650554
9 0.0001012068 0.0001012069 1.2037887857 1.2038045136 1.2038045146
10 0.0000717457 0.0000717463 1.2570553271 1.2570689591 1.2570689653
11 0.0000541547 0.0000541571 1.3028966983 1.3029066505 1.3029066870
12 0.0000423613 0.0000423858 1.3429347136 1.3429418876 1.3429438597
13 0.0000340354 0.0000341530 1.3785024388 1.3785302089 1.3785856842
14 0.0000275588 0.0000286183 1.4103151783 1.4104850109 1.4109760429
15 0.0000000988 0.0000025563 2.8229783598 2.8242306903 2.8243529436
