# step x_1 x_2 x_3 x_4 x_5
1 0.1426697833 0.1426697833 0.8602182806 0.9865978083 0.9865978083
2 0.1388582191 0.1388582191 0.8524122349 1.0965140207 1.0965140207
3 0.1389018186 0.1389018186 0.8454340855 1.1402243065 1.1402243065
4 0.1395227079 0.1395227079 0.8433443867 1.1504049714 1.1504049714
5 0.1405807213 0.1405807213 0.8418780888 1.1532603988 1.1532603988
6 0.1435048110 0.1435048110 0.8381381158 1.1545309937 1.1545309937
7 0.1517677810 0.1517677810 0.8326337761 1.1535802608 1.1535802608
8 0.1743398899 0.1743398899 0.8307830495 1.1485732992 1.1485732992
9 0.2378473412 0.2378473413 0.8604972666 1.1448095872 1.1448095872
10 0.4212599811 0.4212599813 1.0512782147 1.1922818136 1.1922818138
