# step x_1 x_2 x_3 x_4 x_5
1 0.1403708882 0.1403708882 0.8602058371 0.9886180344 0.9886180344
2 0.1336930587 0.1336930587 0.8524242552 1.1009582456 1.1009582456
3 0.1272293069 0.1272293069 0.8457848935 1.1501231190 1.1501231190
4 0.1134392593 0.1134392593 0.8469930265 1.1735708683 1.1735708683
5 0.0849908706 0.0849908706 0.8679322401 1.2135984458 1.2135984458
6 0.0402967952 0.0402967952 0.9898037585 1.3107809141 1.3389698876
7 0.0060595771 0.0060595772 1.2303191456 1.2497386489 1.2497386489
8 0.0001861224 0.0001861224 1.2051889383 1.2053116567 1.2053116569
9 0.0000704473 0.0000704474 1.2497776116 1.2497898938 1.2497898951
10 0.0000535254 0.0000535260 1.2974360035 1.2974454682 1.2974454719
