# step x_1 x_2 x_3 x_4 x_5
1 0.1422855046 0.1422855046 0.8602110182 0.9869310640 0.9869310640
2 0.1379894419 0.1379894419 0.8523871974 1.0972384099 1.0972384099
3 0.1369104492 0.1369104492 0.8453500766 1.1417917787 1.1417917787
4 0.1349198119 0.1349198119 0.8431808761 1.1538326405 1.1538326405
5 0.1299001492 0.1299001492 0.8419666626 1.1609655344 1.1609655344
6 0.1188090322 0.1188090322 0.8406524422 1.1727147140 1.1727147140
7 0.0958660240 0.0958660240 0.8489091035 1.1999364636 1.1999364636
8 0.0556231651 0.0556231651 0.9184211207 1.2327186915 1.2816150431
9 0.0137592467 0.0137592468 1.1901652452 1.2442667934 1.2442667934
10 0.0008478316 0.0008478319 1.2365369648 1.2395221993 1.2395221996
11 0.0000005816 0.0000005830 1.4022239065 1.4022239084 1.4022244791
12 0.0000000690 0.0000001093 2.8091058277 2.8091059804 2.8091062385
