# step x_1 x_2 x_3 x_4 x_5
1 0.1433703203 0.1433703203 0.8602367942 0.9859948047 0.9859948047
2 0.1405461860 0.1405461860 0.8548743823 1.1026374429 1.1026374429
3 0.1456832151 0.1456832151 0.8525083544 1.1466681053 1.1466681053
4 0.1628392800 0.1628392800 0.8634039902 1.1517873414 1.1517873414
5 0.2117097124 0.2117097124 0.8968923760 1.1424329770 1.1424329770
6 0.3551350683 0.3551350683 1.0332472548 1.1523772974 1.1523772974
7 0.7394344668 0.7394344668 1.3189854508 1.3189854508 1.3747897652
8 1.5244552458 1.5244552458 1.9165284735 1.9165284735 2.0282456648
9 2.6500358372 2.6500358372 2.9338762281 2.9338762281 3.2480299758
10 9.3771237493 9.3771237493 10.2758912904 10.2758912904 10.2758927031
