# step x_1 x_2 x_3 x_4 x_5
1 0.1411353735 0.1411353735 0.8602016656 0.9879390971 0.9879390971
2 0.1354930486 0.1354930486 0.8546875720 1.1069685024 1.1069685024
3 0.1340129484 0.1340129484 0.8515645386 1.1559569107 1.1559569107
4 0.1348647478 0.1348647478 0.8583493634 1.1708590334 1.1708590334
5 0.1400785521 0.1400785521 0.8673921569 1.1751271247 1.1751271247
6 0.1561976581 0.1561976581 0.8723896755 1.1711809796 1.1711809796
7 0.2029874394 0.2029874394 0.8851923273 1.1583663114 1.1583663114
8 0.3446033926 0.3446033927 0.9915376086 1.1640329744 1.1640329744
9 0.7374530227 0.7374530228 1.3301450092 1.3301450093 1.3660079888
10 1.5515579883 1.5515579886 1.9345557149 1.9345557152 2.0077826301
